"","FTHG","FTAG","HTHG","HTAG","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","L","D","W"
"3249",4,0,1,0,6,13,4,5,17,7,3,6,2,2,0,0,0,0,1
"3250",1,1,0,1,9,13,3,4,17,13,5,7,1,3,0,0,0,1,0
"3251",2,2,0,1,15,10,5,3,6,16,9,4,1,1,0,0,0,1,0
"3252",0,1,0,0,8,16,2,8,10,15,8,7,0,1,0,0,1,0,0
"3253",2,3,0,0,16,6,5,3,7,7,6,3,1,1,0,0,1,0,0
"3254",2,2,0,0,17,6,7,2,10,7,5,4,2,4,0,0,0,1,0
"3255",1,3,1,2,11,13,2,5,7,14,7,5,2,1,0,0,1,0,0
"3256",1,1,1,0,6,25,1,8,12,13,1,7,4,0,0,0,0,1,0
"3257",2,0,2,0,14,9,5,3,15,12,1,4,1,1,0,0,0,0,1
"3258",2,1,0,0,24,13,8,7,12,11,10,4,1,3,1,0,0,0,1
"3259",2,0,1,0,9,9,5,4,12,10,9,7,1,3,0,0,0,0,1
"3260",3,0,2,0,20,11,7,2,8,10,7,2,0,1,0,0,0,0,1
"3261",1,2,0,2,20,10,5,6,12,15,9,5,3,3,0,0,1,0,0
"3262",0,2,0,0,10,11,2,4,14,23,2,3,0,4,0,0,1,0,0
"3263",1,0,0,0,24,13,3,5,4,8,10,2,1,0,0,0,0,0,1
"3264",1,1,0,1,7,8,3,2,13,8,3,3,2,1,0,0,0,1,0
"3265",1,1,1,1,11,16,3,5,12,13,4,2,2,1,0,0,0,1,0
"3266",0,0,0,0,3,14,1,3,9,13,2,12,2,1,0,0,0,1,0
"3267",2,1,1,0,11,10,5,2,10,19,5,4,2,0,0,0,0,0,1
"3268",0,0,0,0,15,6,6,2,20,16,7,1,1,4,0,0,0,1,0
"3269",1,1,1,1,14,14,7,5,21,12,5,5,1,0,0,0,0,1,0
"3270",0,4,0,3,6,11,1,4,11,14,2,4,3,3,0,0,1,0,0
"3271",3,1,1,0,13,9,6,5,14,8,10,13,1,1,0,0,0,0,1
"3272",0,4,0,4,21,10,9,7,8,8,6,1,3,3,0,0,1,0,0
"3273",6,3,3,0,15,18,10,8,14,4,4,8,3,1,0,0,0,0,1
"3274",2,0,1,0,7,22,4,5,9,12,1,15,2,1,0,0,0,0,1
"3275",1,3,1,2,21,6,7,4,12,15,3,2,0,2,0,0,1,0,0
"3276",1,0,0,0,17,8,5,0,8,11,11,2,0,1,0,0,0,0,1
"3277",2,1,2,0,16,11,7,7,12,10,3,6,5,0,0,1,0,0,1
"3278",1,0,1,0,16,12,4,2,6,13,5,6,2,2,0,0,0,0,1
"3279",0,3,0,2,11,15,1,9,12,13,10,3,2,4,0,0,1,0,0
"3280",2,1,1,0,17,4,5,2,9,13,10,3,2,3,0,0,0,0,1
"3281",2,0,1,0,17,9,7,4,12,9,3,8,3,1,0,1,0,0,1
"3282",2,0,2,0,17,7,9,2,14,14,10,3,3,4,0,0,0,0,1
"3283",2,0,1,0,22,9,11,3,10,12,5,1,1,0,0,0,0,0,1
"3284",0,0,0,0,9,7,3,3,14,9,5,2,2,0,0,0,0,1,0
"3285",1,0,0,0,7,6,4,1,10,14,5,5,1,3,0,0,0,0,1
"3286",0,4,0,2,6,15,1,8,12,14,6,2,1,0,0,0,1,0,0
"3287",2,2,0,1,16,8,4,3,7,14,7,5,3,2,0,0,0,1,0
"3288",1,1,1,1,6,13,4,2,12,11,1,1,3,2,0,0,0,1,0
"3289",2,0,2,0,10,9,4,1,7,14,7,3,2,2,0,0,0,0,1
"3290",0,2,0,1,5,17,1,5,8,11,3,7,2,3,0,0,1,0,0
"3291",3,1,1,1,16,3,5,2,11,14,8,1,1,3,0,0,0,0,1
"3292",1,0,1,0,15,11,3,4,13,15,4,2,3,1,0,0,0,0,1
"3293",2,0,1,0,20,10,8,1,10,16,10,6,0,2,0,0,0,0,1
"3294",1,1,0,0,15,10,1,3,8,13,6,3,1,1,0,1,0,1,0
"3295",1,1,1,0,9,13,1,2,18,14,4,6,4,1,0,1,0,1,0
"3296",2,1,2,1,13,12,4,4,12,5,8,6,2,0,0,0,0,0,1
"3297",4,0,4,0,21,5,9,3,11,14,8,5,2,3,0,0,0,0,1
"3298",3,1,2,0,13,17,7,7,8,5,5,12,0,0,0,0,0,0,1
"3299",3,1,1,1,17,10,5,4,12,13,10,4,1,1,0,0,0,0,1
"3300",3,1,2,0,18,7,7,3,8,15,9,3,1,2,0,0,0,0,1
"3301",1,1,1,1,20,3,7,1,9,11,15,2,3,2,0,1,0,1,0
"3302",2,0,2,0,13,8,8,2,16,20,6,1,1,2,0,0,0,0,1
"3303",3,2,1,1,23,6,10,4,7,13,9,2,2,2,0,0,0,0,1
"3304",3,4,1,2,16,20,4,11,16,9,6,5,3,2,0,0,1,0,0
"3305",0,2,0,0,11,10,1,4,8,12,5,5,0,1,0,0,1,0,0
"3306",0,2,0,1,11,14,3,7,11,4,6,4,1,0,0,0,1,0,0
"3307",3,2,1,0,20,8,7,4,9,14,7,2,1,2,0,0,0,0,1
"3308",1,2,0,1,11,9,2,4,8,8,6,4,0,1,0,0,1,0,0
"3309",0,0,0,0,12,5,1,2,8,11,8,1,1,3,0,0,0,1,0
"3310",3,2,1,1,21,15,9,7,20,15,5,6,4,2,0,0,0,0,1
"3311",3,0,2,0,16,5,5,2,8,12,4,6,1,2,0,0,0,0,1
"3312",2,1,0,0,15,11,7,3,14,5,2,7,3,1,0,0,0,0,1
"3313",2,1,1,1,10,11,3,1,12,16,11,1,2,2,0,0,0,0,1
"3314",2,0,1,0,12,10,6,1,10,9,2,4,0,2,0,0,0,0,1
"3315",1,0,0,0,7,6,0,2,8,15,3,2,0,2,0,0,0,0,1
"3316",4,0,1,0,14,6,8,0,9,7,5,8,2,0,0,1,0,0,1
"3317",1,2,1,1,5,20,1,7,16,11,5,11,4,2,1,0,1,0,0
"3318",0,0,0,0,14,17,5,3,14,7,3,5,2,1,0,0,0,1,0
"3319",3,1,1,1,12,11,8,2,5,6,4,5,1,0,0,0,0,0,1
"3320",2,3,1,3,20,11,7,5,10,14,6,5,0,1,0,0,1,0,0
"3321",1,1,0,0,13,13,3,4,14,7,9,8,3,3,0,0,0,1,0
